CourseId,CourseTitle,ClassId,GoalId,StudentId,QuestionBucketId,BestAttemptResult,GradeLevel,LearningGoal,ExpectationId,CurriculumExpectation
DCC7A0A0-9533-ED11-975A-0050568C42B6,CA AB -  Kindergarten 2022 - EN,69699C39-CB5C-EE11-9760-0050568C42B6,69BEC85F-594A-ED11-975A-0050568C42B6,1326B342-8BF2-4576-A2C7-238713A14CFC,C3303099-6CC0-EC11-9756-0050568C42B6,0,1,Identify numerals to 20,104DBDDF-A933-ED11-975A-0050568C42B6,"Represent quantities using words, numerals, objects, or pictures."
DCC7A0A0-9533-ED11-975A-0050568C42B6,CA AB -  Kindergarten 2022 - EN,69699C39-CB5C-EE11-9760-0050568C42B6,43737308-654A-ED11-975A-0050568C42B6,1326B342-8BF2-4576-A2C7-238713A14CFC,6C3795A9-C578-E511-80EA-00155DD5C402,0,3,Identify and read numbers in words to ten thousand,8FAE8986-8941-ED11-975A-0050568C42B6,Express natural numbers using words and numerals.
DCC7A0A0-9533-ED11-975A-0050568C42B6,CA AB -  Kindergarten 2022 - EN,69699C39-CB5C-EE11-9760-0050568C42B6,43737308-654A-ED11-975A-0050568C42B6,1326B342-8BF2-4576-A2C7-238713A14CFC,7C3795A9-C578-E511-80EA-00155DD5C402,0,3,Identify and read numbers in words to ten thousand,8FAE8986-8941-ED11-975A-0050568C42B6,Express natural numbers using words and numerals.
DCC7A0A0-9533-ED11-975A-0050568C42B6,CA AB -  Kindergarten 2022 - EN,69699C39-CB5C-EE11-9760-0050568C42B6,43737308-654A-ED11-975A-0050568C42B6,1326B342-8BF2-4576-A2C7-238713A14CFC,8C3795A9-C578-E511-80EA-00155DD5C402,1,3,Identify and read numbers in words to ten thousand,8FAE8986-8941-ED11-975A-0050568C42B6,Express natural numbers using words and numerals.
DCC7A0A0-9533-ED11-975A-0050568C42B6,CA AB -  Kindergarten 2022 - EN,69699C39-CB5C-EE11-9760-0050568C42B6,69CDBEBD-2D90-ED11-975C-0050568C42B6,1326B342-8BF2-4576-A2C7-238713A14CFC,24D98F8F-DDEA-EC11-9758-0050568C42B6,1,1,Show objects given a number from 1-20,104DBDDF-A933-ED11-975A-0050568C42B6,"Represent quantities using words, numerals, objects, or pictures."
DCC7A0A0-9533-ED11-975A-0050568C42B6,CA AB -  Kindergarten 2022 - EN,69699C39-CB5C-EE11-9760-0050568C42B6,69CDBEBD-2D90-ED11-975C-0050568C42B6,1326B342-8BF2-4576-A2C7-238713A14CFC,35D98F8F-DDEA-EC11-9758-0050568C42B6,1,1,Show objects given a number from 1-20,104DBDDF-A933-ED11-975A-0050568C42B6,"Represent quantities using words, numerals, objects, or pictures."
DCC7A0A0-9533-ED11-975A-0050568C42B6,CA AB -  Kindergarten 2022 - EN,69699C39-CB5C-EE11-9760-0050568C42B6,69CDBEBD-2D90-ED11-975C-0050568C42B6,1326B342-8BF2-4576-A2C7-238713A14CFC,47D98F8F-DDEA-EC11-9758-0050568C42B6,1,1,Show objects given a number from 1-20,104DBDDF-A933-ED11-975A-0050568C42B6,"Represent quantities using words, numerals, objects, or pictures."
DCC7A0A0-9533-ED11-975A-0050568C42B6,CA AB -  Kindergarten 2022 - EN,69699C39-CB5C-EE11-9760-0050568C42B6,3DDC96CB-644A-ED11-975A-0050568C42B6,125B47A1-2FE9-4055-8B89-45DD60B365BD,F3C16B78-1FD9-E711-A94D-000D3AF32666,1,3,"Relate standard form, word form, and expanded form",6DDBC0A8-AA33-ED11-975A-0050568C42B6,Identify the place value of each digit in a natural number.
DCC7A0A0-9533-ED11-975A-0050568C42B6,CA AB -  Kindergarten 2022 - EN,69699C39-CB5C-EE11-9760-0050568C42B6,3DDC96CB-644A-ED11-975A-0050568C42B6,125B47A1-2FE9-4055-8B89-45DD60B365BD,04C26B78-1FD9-E711-A94D-000D3AF32666,1,3,"Relate standard form, word form, and expanded form",6DDBC0A8-AA33-ED11-975A-0050568C42B6,Identify the place value of each digit in a natural number.
DCC7A0A0-9533-ED11-975A-0050568C42B6,CA AB -  Kindergarten 2022 - EN,69699C39-CB5C-EE11-9760-0050568C42B6,3DDC96CB-644A-ED11-975A-0050568C42B6,125B47A1-2FE9-4055-8B89-45DD60B365BD,5AF36D7E-1FD9-E711-A94D-000D3AF32666,1,3,"Relate standard form, word form, and expanded form",6DDBC0A8-AA33-ED11-975A-0050568C42B6,Identify the place value of each digit in a natural number.
DCC7A0A0-9533-ED11-975A-0050568C42B6,CA AB -  Kindergarten 2022 - EN,69699C39-CB5C-EE11-9760-0050568C42B6,3DDC96CB-644A-ED11-975A-0050568C42B6,85AEB62D-A90A-41AD-9267-6E315AA3C30E,F3C16B78-1FD9-E711-A94D-000D3AF32666,1,3,"Relate standard form, word form, and expanded form",6DDBC0A8-AA33-ED11-975A-0050568C42B6,Identify the place value of each digit in a natural number.
DCC7A0A0-9533-ED11-975A-0050568C42B6,CA AB -  Kindergarten 2022 - EN,69699C39-CB5C-EE11-9760-0050568C42B6,3DDC96CB-644A-ED11-975A-0050568C42B6,85AEB62D-A90A-41AD-9267-6E315AA3C30E,04C26B78-1FD9-E711-A94D-000D3AF32666,1,3,"Relate standard form, word form, and expanded form",6DDBC0A8-AA33-ED11-975A-0050568C42B6,Identify the place value of each digit in a natural number.
DCC7A0A0-9533-ED11-975A-0050568C42B6,CA AB -  Kindergarten 2022 - EN,69699C39-CB5C-EE11-9760-0050568C42B6,3DDC96CB-644A-ED11-975A-0050568C42B6,85AEB62D-A90A-41AD-9267-6E315AA3C30E,5AF36D7E-1FD9-E711-A94D-000D3AF32666,1,3,"Relate standard form, word form, and expanded form",6DDBC0A8-AA33-ED11-975A-0050568C42B6,Identify the place value of each digit in a natural number.
DCC7A0A0-9533-ED11-975A-0050568C42B6,CA AB -  Kindergarten 2022 - EN,69699C39-CB5C-EE11-9760-0050568C42B6,3AD2C904-8C8F-EE11-9A33-0050569EBC32,85AEB62D-A90A-41AD-9267-6E315AA3C30E,999714A2-C07D-EE11-9A30-0050569EBC32,0,3,Relate place value between consecutive digits using multiplication by 10.,0CED177D-8941-ED11-975A-0050568C42B6,Relate the values of adjacent places.
DCC7A0A0-9533-ED11-975A-0050568C42B6,CA AB -  Kindergarten 2022 - EN,69699C39-CB5C-EE11-9760-0050568C42B6,3AD2C904-8C8F-EE11-9A33-0050569EBC32,85AEB62D-A90A-41AD-9267-6E315AA3C30E,A59714A2-C07D-EE11-9A30-0050569EBC32,0,3,Relate place value between consecutive digits using multiplication by 10.,0CED177D-8941-ED11-975A-0050568C42B6,Relate the values of adjacent places.
DCC7A0A0-9533-ED11-975A-0050568C42B6,CA AB -  Kindergarten 2022 - EN,69699C39-CB5C-EE11-9760-0050568C42B6,6D2D70FC-644A-ED11-975A-0050568C42B6,85AEB62D-A90A-41AD-9267-6E315AA3C30E,72FDFF5A-6F84-EC11-9756-0050568C42B6,0,3,Identify the value of a digit in a number less than 100 000.,13ED177D-8941-ED11-975A-0050568C42B6,Determine the value of each digit in a natural number.
DCC7A0A0-9533-ED11-975A-0050568C42B6,CA AB -  Kindergarten 2022 - EN,69699C39-CB5C-EE11-9760-0050568C42B6,6D2D70FC-644A-ED11-975A-0050568C42B6,85AEB62D-A90A-41AD-9267-6E315AA3C30E,48FDFF5A-6F84-EC11-9756-0050568C42B6,1,3,Identify the value of a digit in a number less than 100 000.,13ED177D-8941-ED11-975A-0050568C42B6,Determine the value of each digit in a natural number.
DCC7A0A0-9533-ED11-975A-0050568C42B6,CA AB -  Kindergarten 2022 - EN,69699C39-CB5C-EE11-9760-0050568C42B6,6D2D70FC-644A-ED11-975A-0050568C42B6,85AEB62D-A90A-41AD-9267-6E315AA3C30E,5CFDFF5A-6F84-EC11-9756-0050568C42B6,1,3,Identify the value of a digit in a number less than 100 000.,13ED177D-8941-ED11-975A-0050568C42B6,Determine the value of each digit in a natural number.
DCC7A0A0-9533-ED11-975A-0050568C42B6,CA AB -  Kindergarten 2022 - EN,69699C39-CB5C-EE11-9760-0050568C42B6,F924EBEF-644A-ED11-975A-0050568C42B6,85AEB62D-A90A-41AD-9267-6E315AA3C30E,3BFEE064-D2DD-EB11-9755-0050568C42B6,1,3,State the place value of a digit in a 3-digit number,13ED177D-8941-ED11-975A-0050568C42B6,Determine the value of each digit in a natural number.
